remark,reading,comment,time
招商局置地前三季度合同销售额371.19亿元,113,0,2021-10-15 19:19:57
招商局置地(00978.HK)前9个月合同销售总额371.19亿元 同比增长约12%,92,0,2021-10-15 18:12:42
招商局置地前9月销售额371.19亿元 完成全年目标67.5%,88,0,2021-10-15 17:48:02
招商局置地(00978.HK):前9月合同销售总额增12%至约人民币371.19万元,195,0,
招商局置地(978)首九个月合同销售总额按年增12%,83,0,2021-10-15 16:47:07
招商局置地(00978)前9个月合同销售总额371.19亿元 同比增长约12%,201,0,
招商局置地(00978.HK)前三季度合同销售额达371.19亿元  同比增长约12%,72,0,2021-10-15 16:36:13
招商局置地(00978)前9个月合同销售总额371.19亿元 同比增长约12%,74,0,2021-10-15 16:35:40
截至二零二一年九月三十日止九个月之未经审核营运数据,171,0,2021-10-15 16:30:54
股份发行人的证券变动月报表,596,0,2021-10-04 16:27:43
2021 中期报告,407,0,2021-09-24 16:50:10
转发,309,0,2021-09-08 21:25:20
招商局置地：为广州市悦商房地产增资5亿元,215,0,2021-09-07 14:05:22
港股应该和A股一样规定股票价格20天低于1元就退市，打击空头[666][666],482,2,2021-07-06 23:33:48
招商局置地(00978.HK)藉投资广州市悦商房地产开发参与东东风化工住宅改造项目,320,0,
招商局置地(00978.HK)投资广州市悦商房地产开发有限公司,420,0,2021-09-03 20:14:32
招商局置地(00978)拟向广州市悦商房地产开发增资5亿元,910,0,
招商局置地(00978)拟向广州市悦商房地产开发增资5亿元,369,0,2021-09-03 20:12:59
须予披露交易:投资广州市悦商房地产开发有限公司,569,0,2021-09-03 20:05:06
股份发行人的证券变动月报表,737,0,2021-09-01 11:36:28
招商局置地上半年收入同比增长145%毛利率降9.43个百分点,304,0,2021-08-23 11:10:04
招商局置地上半年净利2.97亿元 同比增长2.5倍,221,0,2021-08-19 11:44:06
招商局置地上半年营收73亿 归属股东净利润近3亿,384,0,2021-08-18 21:57:35
招商局置地上半年公司拥有人应占溢利同比增258%至2.97亿,254,0,2021-08-18 20:38:08
这是哪家的部将？,466,1,2021-08-12 11:44:35
招商局置地上半年毛利率20% 较去年同期下滑9个百分点,352,0,2021-08-18 20:08:49
招商局置地(00978.HK)上半年纯利大增258.09%至2.97亿元,313,0,2021-08-18 20:00:35
招商局置地(00978.HK)上半年公司拥有人应占溢利同比增长258.09%至2.97亿元,234,0,2021-08-18 19:59:00
招商局置地(00978)中期股东应占溢利同比增加258.09%至2.97亿元,343,0,2021-08-18 19:52:12
截至二零二一年六月三十日止六个月之中期业绩公告,732,0,2021-08-18 19:44:30
招商局置地(00978.HK)将于8月18日举行董事会会议以审批中期业绩,490,0,2021-08-06 21:07:00
董事会会议日期,850,0,2021-08-06 21:01:00
股份发行人的证券变动月报表,822,0,2021-08-02 14:28:29
招商局置地(00978)获一家银行不超过7亿元定期贷款,213,0,2021-07-26 10:06:01
招商局置地：获得一笔不超过7亿港元定期贷款融资,630,0,2021-07-25 21:06:15
招商局置地(00978)获授不超过7亿港元的已承诺定期贷款融资,387,0,2021-07-23 21:03:19
招商局置地(00978.HK)获得7亿港元贷款融资,369,0,2021-07-23 21:03:18
根据上市规则第13.18条之披露,770,0,2021-07-23 21:00:21
横盘1年多了，格劳资的[看多][大笑][大笑][买入][满仓][看多],443,0,2021-07-19 15:33:15
招商局置地(00978)预期上半年净利润同比增加约240%C260%招商局置地(,505,0,2021-07-12 15:01:03
"招商置地曾升3%,上半年合同销售按年升47%发盈喜",592,0,2021-07-12 13:48:49
招商局置地(00978.HK)午后直线拉升 现涨3.6%,523,0,2021-07-12 13:02:53
招商局置地上半年合同销售总额按年升47%至288.5亿人民币,350,0,2021-07-12 12:50:26
招商局置地料中期纯利按年增加约最多260%,404,0,2021-07-12 12:50:22
招商局置地(00978)上半年合同销售总额288.53亿元 同比增长约47%,377,0,2021-07-12 12:32:07
招商局置地(00978.HK)上半年全口径合同销售额劲升47%至288.53亿元,437,0,2021-07-12 12:31:22
招商局置地(00978)预期中期归属于公司股东净利润同比增加约240%C260%,445,0,2021-07-12 12:24:58
招商局置地(00978.HK)盈喜：上半年纯利预增240%-260%,407,0,2021-07-12 12:24:57
截至二零二一年六月三十日止六个月之未经审核营运数据,1038,0,2021-07-12 12:21:24
盈利预喜,1002,0,2021-07-12 12:18:24
2020环境、社会及管治报告,842,0,2021-07-09 20:54:59
股票好便宜,253,0,2021-07-06 23:32:06
股份发行人的证券变动月报表,927,0,2021-07-02 15:03:59
招商局置地（00978.HK）获授不超过19.5亿元定期贷款额度,479,0,2021-06-22 17:48:58
招商局置地(00978)获授不超19.5亿元的定期贷款额度,368,0,2021-06-22 17:06:52
招商局置地(00978.HK)获授不超19.5亿元定期贷款,423,0,2021-06-22 17:01:58
根据上市规则第13.18条之披露,960,0,2021-06-22 17:00:17
成仙了都[大笑][大笑][大笑],421,0,2021-06-22 10:42:15
莫得人气[大笑],399,0,2021-06-16 17:13:34
招商局置地：武汉大本营拟收购广州招赢33%股权,363,0,2021-06-11 09:51:41
招商局置地(00978)：武汉大本营拟收购广州招赢房地产33%股权,272,0,2021-06-10 21:46:56
须予披露交易:视作出售一间附属公司之股权,791,0,2021-06-10 21:34:13
股份发行人的证券变动月报表,979,0,2021-06-01 15:25:54
于二零二一年五月二十六日举行的股东周年大会表决结果,977,0,2021-05-26 19:04:33
股份发行人的证券变动月报表,1284,0,2021-05-03 16:23:38
股东周年大会通告,1085,0,2021-04-26 16:38:47
二零二一年五月二十六日举行之股东周年大会适用之代表委任表格,1196,0,2021-04-26 16:37:06
建议授出购回股份及发行本公司新股份之一般授权、建议重选本公司退任董事、建议自股份溢价账派付末期股息及股东周年大会通告,1209,0,2021-04-26 16:35:56
年报2020,1337,0,2021-04-26 16:30:41
招商局置地一季度销售同比增198.6% 去年毛利同比降约25%,1157,0,
主要及关连交易:有关透过项目公司开发项目地块之合营安排之增资协议,1272,0,2021-04-19 07:25:22
招商局置地一季度合同销售额142亿元,368,0,2021-04-16 19:56:22
招商局置地(00978)一季度合同销售总额142.08亿元 同比增长198.6%,357,0,2021-04-16 16:41:23
招商局置地(00978.HK)：首季合同销售总额142.1亿元 同比增长198.6%,306,0,2021-04-16 16:41:23
招商局置地：2021年前3月合同销售额约142.08亿元 同比增198.6%,343,0,2021-04-16 16:40:17
截至二零二一年三月三十一日止三个月之未经审核营运数据,1266,0,2021-04-16 16:38:51
招商局地产10.75亿元竞得扬州1宗住宅用地 溢价率80.26%,656,0,2021-04-16 15:40:22
股份发行人的证券变动月报表,1217,0,2021-04-01 15:37:48
招商局置地“全面”下挫：营收减少3%、归母净利降逾6成、毛利率降8个点,1376,0,
招商置地(00978)现价跌2.5% 去年度少赚61%,504,0,2021-03-19 15:52:19
直击财报季招商局置地2020年实现营业收入189.56亿元，同比减少3%,1500,0,
招商局置地：2020年营业收入189.56亿元,711,0,2021-03-19 08:21:30
招商局置地(00978.HK)实现年度纯利7.01亿元 末期息0.07港元,585,0,2021-03-18 22:13:04
截至二零二零年十二月三十一日止年度全年业绩公告,1193,0,2021-03-18 21:57:04
获授进一步顺延寄发有关主要及关连交易:有关项目公司之增资协议之通函之豁免,1034,0,2021-03-04 21:58:34
招商局置地(00978.HK)3月18日举行董事会会议以考虑及批准刊发全年业绩公告,468,0,2021-03-03 21:15:55
董事会会议日期及于开曼群岛之股份过户登记处更改地址,1089,0,2021-03-03 21:14:22
股份发行人的证券变动月报表,1279,0,2021-03-01 11:59:13
进一步顺延寄发有关主要及关连交易:有关项目公司之增资协议之通函,1102,0,2021-02-05 21:33:15
股份发行人的证券变动月报表,1264,0,2021-02-01 15:02:51
招商局置地：2020年预计归属于公司股东净利润同比减少约60%,579,0,2021-01-25 18:55:05
招商局置地2020年销售额达498.74亿，预期归母净利将同比减少60%,1492,0,
招商局置地去年销售额约499亿 预计归母净利减六成,549,0,2021-01-23 09:31:08
招商局置地：预计2020年归属股东净利润同比减少60%,424,0,2021-01-22 22:10:58
招商局置地：2020年合约销售金额498.74亿元 同比增33%,380,0,2021-01-22 22:10:57
招商局置地预计2020归母净利润同比降60%,437,0,2021-01-22 21:30:36
招商局置地2020年合同销售498.74亿元 同比增33%,404,0,2021-01-22 21:26:42
招商局置地(00978)2020年度合同销售总额约为498.74亿元 同比增长约33%,423,0,2021-01-22 21:13:09
招商局置地(00978)预期年度归母净利减少约60%,441,0,2021-01-22 21:09:22
盈利警告,785,0,2021-01-22 21:05:34
截至二零二零年十二月三十一日止年度之未经审核营运数据,571,0,2021-01-22 21:04:11
招商局置地(00978.HK)2020年销售额498.74亿元 同比增长33%,388,0,2021-01-22 21:03:55
股份发行人的证券变动月报表,1535,0,2021-01-04 15:41:24
有关租赁协议之补充公告,1032,0,2020-12-23 22:16:36
保利联合招商局置地开发广州琶洲宅地,665,0,2020-12-22 22:48:01
五矿地产联合招商局置地收购广州7.68万平商住地块,792,0,2020-12-21 16:23:57
主要交易: 有关开发秦淮地块之合营安排,1290,0,2020-12-18 17:16:33
主要交易: 有关成立合营公司之合作及开发协议,1290,0,2020-12-18 17:14:36
保利联手招商局置地共同开发广州琶洲宅地,599,0,2020-12-17 10:41:00
招商局置地：联合保利共同开发广州海珠区1宗商住用地,507,0,2020-12-17 09:55:36
招商局置地(00978)预计总投资约31.83亿元与保利发展控股集团合作以开发广州商住用地,591,0,2020-12-16 22:54:55
招商局置地：联合保利城市发展开发琶洲地块,616,0,2020-12-16 22:43:09
获授顺延寄发有关主要及关连交易:有关项目公司之增资协议之通函之豁免,1153,0,2020-12-16 22:39:17
关连交易:有关开发琶洲地块之合营安排,1187,0,2020-12-16 22:33:22
顺延寄发有关主要及关连交易:有关项目公司之增资协议之通函,415,0,2020-12-15 22:05:18
进一步顺延寄发有关主要交易: 有关成立合营公司之合作及开发协议之通函,459,0,2020-12-14 22:03:51
招商局置地：附属租赁重庆九龙坡区物业,768,0,2020-12-06 16:45:22
持续关连交易 - 租赁协议,457,0,2020-12-04 21:04:46
进一步顺延寄发有关主要交易:有关开发秦淮地块之合营安排之通函,460,0,2020-12-01 17:10:42
股份发行人的证券变动月报表,432,0,2020-12-01 15:14:29
补充公告,515,0,2020-11-26 22:03:14
于二零二零年十一月二十六日举行之股东特别大会表决结果,442,0,2020-11-26 17:01:24
招商局置地：与保利、新希望等合作开发南京地块,809,0,2020-11-25 23:16:55
招商局置地(00978)附属拟投资南京悦霖房地产以开发物业项目,527,0,2020-11-25 23:03:27
关连交易 - 有关开发2020G16南京地块之合营安排,428,0,2020-11-25 22:47:51
招商局置地：注资16.25亿元参与建设广东佛山地块项目,399,0,2020-11-25 10:03:34
招商局置地(00978-HK)逾16亿人民币参建佛山商住项目,454,0,2020-11-25 07:46:41
增资16.25亿 招商局置地入股保利佛山禅城商住项目,493,0,2020-11-25 00:05:02
招商局置地：为佛山禅城区地块项目公司增资16亿元,376,0,2020-11-24 20:50:31
招商局置地(00978)拟向佛山市清皓置业增资16.25亿元携手保利发展控股集团共同开发佛山商住用地,497,0,2020-11-24 20:48:05
主要及关连交易:有关项目公司之增资协议,401,0,2020-11-24 20:37:50
招商局置地：拟联合竞投重庆地块,402,0,2020-11-24 09:54:00
招商局置地：与江苏保利等公司合作开发南京地块,435,0,2020-11-24 09:36:19
招商局置地：与江苏保利等3家公司合作开发南京江北新区地块,554,0,2020-11-24 08:46:57
招商局置地(00978-HK)伙置地控股间接附属竞投重庆地块,481,0,2020-11-24 06:27:23
招商局置地(00978)附属拟透过项目公司合作开发2020G15南京地块,563,0,2020-11-24 06:25:07
招商局置地(00978)附属与重庆怡置分别出资1.88亿元及1.8亿元设竞投实体联合竞投重庆的地块,491,0,2020-11-24 06:24:53
招商局置地(00978-HK)间接非全资附属组合营开发南京地块,500,0,2020-11-24 06:19:54
关连交易 - 联合竞投合作框架协议,266,0,2020-11-24 06:12:07
关连交易 - 有关开发2020G15南京地块之合营安排,286,0,2020-11-24 06:08:40
顺延寄发有关主要交易:有关成立合营公司之合作及开发协议之通函,377,0,2020-11-18 21:34:21
二零二零年十一月二十六日(星期四)举行之股东特别大会适用之代表委任表格,349,0,2020-11-06 16:38:47
股东特别大会通告,387,0,2020-11-06 16:38:15
须予披露及关连交易:出售物业及股东特别大会通告,387,0,2020-11-06 16:37:10
股份发行人的证券变动月报表,417,0,2020-11-02 14:20:44
信置及嘉华等合组财团投得日出康城第13期,874,0,2020-10-31 12:36:55
招商局置地新动作 左手抛资产 右手与中国五矿联合拿地,584,0,2020-10-29 18:09:40
招商局置地：与中国五矿北京设立项目公司共同开发广州地块,663,0,2020-10-29 10:01:38
招商局置地(00978-HK)以逾7.9亿人民币售南京信盛商业管理,541,0,2020-10-29 06:18:50
招商局置地(00978-HK)拟伙五矿北京参与收购广州地上项目,595,0,2020-10-29 06:18:49
须予披露交易 ― 出售一间附属公司之股权,383,0,2020-10-29 06:09:58
主要交易:有关成立合营公司之合作及开发协议,388,0,2020-10-29 06:08:22
招商局置地：前九月合同销售330.21亿元 完成年度目标的99.46%,796,0,2020-10-14 17:10:32
招商局置地第三季合同销售总额按年升约29%至133亿人民币,538,0,2020-10-14 16:51:03
招商局置地(00978)前三季合同销售总额约330.21亿元 同比增26%,538,0,2020-10-14 16:39:18
招商局置地：前9月合同销售额约330.21亿元 同比增26%,522,0,2020-10-14 16:36:34
截至二零二零年九月三十日止九个月之未经审核营运数据,462,0,2020-10-14 16:34:12
股份发行人的证券变动月报表,493,0,2020-10-05 11:12:22
2020 中期报告,552,0,2020-09-25 16:53:24
招商局置地7.94亿转让南京信盛全部股权,467,0,2020-09-23 10:46:18
招商局置地拟7.9亿元转让南京信盛商业100%股权,482,0,2020-09-22 10:59:55
招商局置地7.94亿挂牌转让南京信盛商管100%股权,427,0,2020-09-21 23:35:00
招商局置地挂牌转让南京信盛商管100%股权 底价7.94亿元,496,0,2020-09-21 10:27:58
开曼群岛主要股份过户登记总处更改名称,507,0,2020-09-15 12:06:36
招商局置地附属拟5.27亿元出售位于广州的物业,536,0,2020-09-14 18:42:12
招商局置地5.27亿元出售广州番禺6栋大厦及地库,541,0,2020-09-14 11:12:36
招商局置地：拟5.27亿元出售位于广州番禺区物业,570,0,2020-09-14 09:32:30
招商局置地逾5亿人币售番禺物业 料收益1.3亿人币,510,0,2020-09-14 08:49:03
招商局置地(00978)附属拟5.27亿元出售位于广州的物业,560,0,2020-09-13 18:23:47
须予披露及关连交易 - 出售物业,546,0,2020-09-13 18:15:20
进一步延迟寄发有关主要交易:有关开发秦淮地块之合营安排之通函,464,0,2020-09-11 22:34:05
股份发行人的证券变动月报表,427,0,2020-09-01 17:11:44
招商局置地：2020年上半年融资成本2.94亿元 同比增35%,716,0,2020-08-21 17:27:52
招商局置地：上半年每股基本盈利1.69分 同比减少83%,648,0,2020-08-21 17:27:24
招商局置地：上半年净利润1.67亿元 同比下降68.26%,576,0,2020-08-21 17:27:08
招商局置地：上半年毛利下降约7% 毛利率下降4个百分点,667,0,2020-08-21 17:26:53
招商局置地中期业绩增收不增利：营业额同比增加约3%溢利下降约69%,3635,0,
招商局置地中期业绩增收不增利：营业额同比增加约3%溢利下降约69%,587,0,2020-08-20 16:39:16
招商局置地(00978)中期溢利8286万人民币跌逾83% 不派息,571,0,2020-08-20 13:28:43
结转收入大幅减少 招商局置地上半年净利润同比降68%,649,0,2020-08-19 21:58:48
招商局置地：上半年溢利1.68亿元 同比下降约69%,636,0,2020-08-19 21:04:05
招商局置地上半年营业额29.81亿 溢利同比下降约69%,565,0,2020-08-19 20:27:16
招商局置地(00978)中期股东应占溢利同比减少83.13%至8286.1万元,502,0,2020-08-19 20:06:00
截至二零二零年六月三十日止六个月之中期业绩公告,417,0,2020-08-19 19:44:20
8月11日港股通资金流向统计(T+2),12012,3,2020-08-11 07:33:07
董事会会议日期,385,0,2020-08-07 16:36:59
地产股收盘 恒指收跌0.69% 兴业物联收涨23.38%,7071,0,2020-08-06 16:22:47
股份发行人的证券变动月报表,389,0,2020-08-03 16:28:42
315晚会曝光问题楼盘 涉及万科、招商、远洋集团,1567,2,2020-07-17 10:42:10
话企｜资产腾挪频繁，招商局置地转型陷迷雾,6339,0,
资产腾挪频繁 招商局置地转型陷迷雾,1081,0,2020-07-14 20:27:14
招商局置地：料净利润同比降69% 前6月销售197亿完成年目标59.3%,1688,0,
招商局置地：料净利润同比降69% 前6月销售197亿完成年目标59.3%,609,0,2020-07-14 13:42:34
招商局置地料中期净利润下跌69% 股价跌2.19%,622,0,2020-07-14 12:13:22
招商局置地半年合约销售近197亿元,694,0,2020-07-14 10:24:38
《异动股》招商局置地(978)挫近3% 料中期净利润跌六成九,606,0,2020-07-14 10:10:03
招商局置地半年合约销售197亿元,1970,0,
招商局置地半年合约销售197亿元 但净利润料同比降69%,644,0,2020-07-13 22:45:49
招商局置地(00978)中期归母净利预减80%,558,0,2020-07-13 22:23:31
招商局置地：前6月合约销售金额196.77亿元 同比增24%,572,0,2020-07-13 22:20:03
招商局置地：预计上半年归属股东净利润同比减少80%,757,0,2020-07-13 22:17:12
招商局置地(00978.HK)上半年销售额196.77亿元 同比增长24%,535,0,2020-07-13 21:22:54
招商局置地：上半年合同销售196.77亿元 同比增长24%,607,0,2020-07-13 21:09:46
招商局置地(00978)二季度合同销售总额149.2亿元 同比增长51%,638,0,2020-07-13 20:21:08
盈利警告,393,0,2020-07-13 20:15:53
截至二零二零年六月三十日止六个月之未经审核营运数据,396,0,2020-07-13 20:14:24
延迟寄发有关主要交易:有关开发秦淮地块之合营安排之通函,334,0,2020-07-09 20:14:12
2019环境、社会及管治报告,359,0,2020-07-07 16:57:37
招商局置地拟出让南京子公司100%权益，底价暂未披露,1958,0,
招商局置地拟挂牌转让南京信盛100%股权 未披露转让底价,575,0,2020-07-06 13:57:33
招商局置地拟出让南京子公司100%权益 底价暂未披露,575,0,2020-07-06 13:24:11
招商局置地出让南京子公司100%权益 后者总资产7.35亿元,543,0,2020-07-06 13:00:23
招商局置地转让西安一项目部分股权 当地项目曾陷“口碑”风波,1134,0,2020-07-04 17:56:34
股份发行人的证券变动月报表,338,0,2020-07-02 15:33:34
于二零二零年六月三十日举行之股东特别大会表决结果,332,0,2020-06-30 19:03:48
招商局置地42.35亿入股华发南京项目 持股45%,596,0,2020-06-17 17:30:29
招商局置地(00978)附属拟参设合营开发秦淮地块,501,0,2020-06-17 05:30:25
华发南京地块邀招商局置地入股 出资42.35亿合作开发秦淮项目,806,0,2020-06-16 23:37:59
招商局置地(00978.HK)设合营开发秦淮地块,735,0,2020-06-16 22:57:45
主要交易: 有关开发秦淮地块之合营安排,475,0,2020-06-16 22:45:52
二零二零年六月三十日举行之股东特别大会适用之代表委任表格,408,0,2020-06-11 16:44:18
股东特别大会通告,375,0,2020-06-11 16:44:04
须予披露及关连交易 - 收购南京信盛之股权及股东特别大会通告,376,0,2020-06-11 16:38:12
招商局置地4.12亿元竞得重庆市两江新区一宗居住用地 溢价率15.34%,641,0,2020-06-09 13:53:18
进一步延迟寄发通函,405,0,2020-06-05 18:33:41
关注分红款除权已经那么长时间了什么时候才能到帐,488,0,2020-06-03 13:32:36
须予披露交易:有关视作出售一间附属公司之股权之补充公告,397,0,2020-06-02 21:04:13
股份发行人的证券变动月报表,418,0,2020-06-01 15:25:11
招商局置地(00978)涨超9%创四个月新高 附属西安招商嘉时房地产获增资4.8亿元,547,0,2020-06-01 15:13:25
招商置地(00978)升逾9% 报1.2元,526,0,2020-06-01 14:54:06
招商局置地(00978-HK)陕西项目引入华侨城为股东,2165,0,2020-05-29 05:33:54
华侨城4.8亿收购招商局置地西安项目49%权益,2034,0,2020-05-28 21:13:20
招商局置地：4.8亿元转让西安高新区项目49%股权给华侨城,2324,3,2020-05-28 18:21:17
招商局置地旗下公司出售附属公司49%股权,757,0,2020-05-28 18:32:10
招商局置地(00978)附属西安招商嘉时房地产获增资4.8亿元,650,0,2020-05-28 18:13:20
须予披露交易:视作出售一间附属公司之股权,399,0,2020-05-28 18:01:35
鸿宝能源市盈率0.63。更是变态。,452,1,2020-05-24 21:57:09
这，这分红能达到13%，也没了。香港股票真是违常理的存在。保利置地，合生创展，这,491,1,2020-05-24 21:51:54
招商局置地7.94亿元ABS获深交所受理,544,0,2020-05-21 14:03:58
于二零二零年五月二十日举行的股东周年大会表决结果,337,0,2020-05-20 18:12:22
延迟寄发通函,379,0,2020-05-19 18:58:06
看好,542,0,2020-05-08 10:27:48
股份发行人的证券变动月报表,379,0,2020-05-04 16:47:33
招商局置地4.66亿元人币全拥南京信盛,767,0,2020-04-28 08:34:09
招商局置地收购南京信盛剩余58.66%股权 代价4.66亿元,694,0,2020-04-27 21:52:32
招商局置地(00978)附属深圳招商斥4.66亿收购南京信盛余下58.66%股权,690,0,2020-04-27 21:05:52
招商局置地(00978.HK)拟3.89亿元向控股股东收购南京信盛余下49%股权,694,0,2020-04-27 20:42:12
须予披露及关连交易 - 收购南京信盛之股权收,408,0,2020-04-27 20:30:36
公告 - 与股东周年大会通函及重选董事有关的补充资料,380,0,2020-04-24 16:46:48
二零二零年五月二十日举行之股东周年大会适用之经修订代表委任表格,1406,0,2020-04-17 16:56:11
股东周年大会通告,1387,0,2020-04-17 16:54:18
建议授出购回股份及发行本公司新股份之一般授权、建议重选本公司退任董事、建议自股份溢价账派付末期股息及股东周年大会通告,1388,0,2020-04-17 16:50:18
年报2019,1515,0,2020-04-17 16:45:45
招商局置地2020一季度合同销售额同比降20.1%,587,0,2020-04-15 18:34:07
招商局置地一季度销售47.58亿 同比降20%,622,0,2020-04-14 17:39:59
招商局置地(00978)第一季度合同销售额47.58亿元 同比下降20.1%,500,0,2020-04-14 17:01:11
招商局置地：前3月合同销售总额约47.58亿元 同比下降20.1%,644,0,2020-04-14 16:50:13
截至二零二零年三月三十一日止三个月之未经审核营运数据,1742,0,2020-04-14 16:46:42
表现在上涨,517,0,2020-04-14 11:17:48
2019年房企下调销售目标 2020年房价走势如何？,1790,0,2020-04-08 13:21:04
股份发行人的证券变动月报表,5565,0,2020-04-01 15:50:53
年度净利润同比增47.56%至17.94亿元 招商局置地(00978)大涨近10%,720,0,2020-03-30 17:54:48
招商局置地余志良：疫情对货值整体节奏影响较小,964,0,2020-03-30 15:43:21
招商局置地余志良：资管业务相对于传统业务盈利贡献较小,944,0,2020-03-30 15:42:27
招商局置地余志良：全年目标下调至332亿元,886,0,2020-03-30 15:18:10
招商局置地：销售目标下调后 2020年土地投资料约100亿,760,0,2020-03-30 15:15:28
招商局置地(00978)去年纯利升48%  派息14港仙,698,0,2020-03-30 14:42:58
招商置地升近11% 报1.14元,490,0,2020-03-30 14:19:19
招商局置地：2019年归属股东净利润17.94亿元 同比增47.56%,501,0,2020-03-30 14:06:42
招商局置地谈不竞争协议：仍会继续在重庆西安发展,725,0,2020-03-30 13:31:02
招商局置地飙近一成一 末期息增75%,719,0,2020-03-30 10:33:00
截至二零一九年十二月三十一日止年度全年I公告,6891,0,2020-03-28 11:48:09
招商局置地：2019年合约销售面积同比增长21% 销售均价同比减少10%,647,0,2020-03-27 23:07:49
招商局置地2019年归属股东净利润17.94亿元 同比增加约48%,761,0,2020-03-27 21:04:22
